,judul,tanggal_berita,paragraf,tanggal_scraped
76,"SMF Terbitkan Obligasi PUB III Tahap VII Rp 1,677 Triliun","03/03/2017, 20:00 WIB","– PT  Sarana Multigriya Finansial (Persero) atau SMF menerbitkan obligasi senilai Rp1,677 triliun dengan rating IdAAA dari PT Pemeringkat Efek Indonesia (Pefindo).
Obligasi tersebut merupakan bagian dari Obligasi Berkelanjutan III SMF tahap VII Tahun 2017 dengan tingkat bunga tetap, dan bagian dari Obligasi Berkelanjutan III SMF senilai Rp 6 triliun.
Direktur Utama SMF Ananta Wiyogo mengatakan, dari hasil penawaran awal PUB III Tahap VII, minat investor untuk berinvestasi pada surat utang SMF terlihat cukup tinggi.
Hal tersebut diungkapkan oleh Ananta dalam Pencatatan Penawaran Umum Obligasi Berkelanjutan III SMF Tahap VII 2017 di Gedung Bursa Efek Indonesia (BEI), Jakarta, Jumat (3/3/2017).
""Namun demikian, mengingat plafon untuk PUB III sudah habis maka SMF hanya dapat menyerap sebesar Rp 1,677 triliun,"" ujar Ananta melalui keterangan tertulis yang diterima KompasProperti.
Obligasi yang terbitkan terdiri dari dua seri, yaitu Seri A dengan jumlah obligasi yang ditawarkan senilai Rp 677 miliar dengan tingkat bunga tetap sebesar 7,5 persen per tahun dan berjangka waktu 370 hari sejak tanggal emisi.
Sedangkan untuk Seri B jumlah obligasi yang ditawarkan Rp 1 triliun dengan tingkat bunga tetap sebesar 8,4 persen.
Obligasi tersebut memiliki jangka waktu 3 tahun sejak tanggal emisi. Pembayaran bunga pertama dilakukan pada 2 Juni 2017.
Sedangkan pembayaran bunga obligasi terakhir sekaligus jatuh tempo masing-masing pada 12 Maret 2018 untuk seri A dan 2 Maret 2020 untuk seri B.
""Dana yang diperoleh dari obligasi ini setelah dikurangi biaya emisi, akan digunakan untuk memberikan pinjaman kepada Penyalur KPR,"" sebut Ananta.",2019-08-31
77,"Ditenagai Saham-saham Sektor Finansial, Wall Street Ditutup Menguat","16/12/2016, 07:06 WIB","- Saham-saham di Wall Street ditutup menguat di akhir perdagangan Kamis atau Jumat (16/12/2016) dini hari waktu Indonesia. Penguatan ditenagai oleh saham-saham perbankan yang berbalik arah setelah sebelumnya melemah merespon keputusan The Fed menaikkan suku bunga acuannya.
Pengumuman The Fed pada Rabu menyebabkan pelemahan pasar terbesar sejak pelaksanaan pilpres AS pada 8 November. Namun demikian, para investor kembali melakukan aksi beli yang membuat harga berbagai saham menguat, termasuk juga dollar AS.
""Kami kembali pada posisi di mana semuanya berharap bahwa iklim ekonomi yang pro pertumbuhan, yakni pro-growth, pro-business, dan kelonggaran regulasi,"" ujar Art Hogan, chief market strategist pada Wunderlich Securities sebagaimana dikutip dari AFP.
Indeks Dow Jones Industrial menguat 0,3 persen dan berakhir di 19.852,24. Sementara itu indeks S&P 500 ditutup naik 0,4 persen menjadi 2.262,03, sedangkan indeks Nasdaq menguat 0,4 persen menjadi 5.456,85.
Saham-saham sektor finansial memimpn penguatan di bursa AS, seperti halnya JPMorgan Chase naik 1,5 persen, Bank of America 2,2 persen dan Citigroup 1,3 persen.
DI sisi lain, saham Yahoo anjlok 6,1 persen di tengah kekhawatiran bocornya data users akan menggagalkan aksi akuisisi oleh Verizon atas aset senilai 4,8 miliar dollar AS. Di sisi lain, saham Verizon menguat 0,4 persen.",2019-08-31
78,"Wall Street Berakhir Datar, Sektor Finansial Naik","15/11/2016, 06:04 WIB","- Bursa saham Amerika Serikat (AS) ditutup dengan sedikit perubahan pada perdagangan Senin waktu setempat, atau Selasa waktu Indonesia. Sebelumnya,  Wall Street mengalami kenaikan dramatis seminggu sebelumnya. Pada perdagangan saham Senin, sektor teknologi mengalami penurunan, namun kenaikan di sektor keuangan mampu menyeimbangkan penurunan tersebut. Setelah perdagangan yang berjalan lambat, indeks Dow ditutup pada rekor kenaikan tertinggi, sedangkan indeks S&P 500 dan indeks Nasdaq Composite ditutup turun tipis. ""Saya pikir saat ini semua pihak mencoba mengambil sedikit keuntungan dari reli luar biasa pasca-pilpres di pekan lalu,"" kata Mark Luschini,  chief investment strategist di Janney Montgomery Scott di Philadelphia. Indeks Nasdaq yang banyak memuat saham teknologi tertekan sejak pilpres AS pada 8 November lalu, seiring para investor lebih memilih menggelontorkan uang ke sektor keuangan, industri dan energi, yang akan mendapatkan keuntungan di bawah pemerintahan baru Presiden Donald Trump. Indeks keuangan naik 2,3 persen, dengan saham bank yang naik tajam yakni Bank of America dan JPMorgan. Indeks ini sudah naik 10,8 persen sejak pilpres dan harapan deregulasi serta kenaikan suku bunga acuan. Indeks teknologi di S&P ditutup turun 1,7 persen, sebagai lokomotif penurunan. Indeks ini sudah turun 3 perseb sejak pilpres. Saham Apple turun 2,5 persen dan memberatkan keseluruhan indeks Nasdaq dan S&P 500, diikuti rontoknya saham Facebook dan Microsoft. Valuasi saham teknologi yang bersinar beberapa tahun ini tidak lagi menarik perhatian investor, yang mengalihkan uangnya ke sejumlah sektor seprti perbankan, yang valuasinya lebih murah namun akan mendapatkan keuntungan dari naiknya suku bung acuan. Hal itu ditegaskan oleh Kim Forrest, senior equity research analyst di Fort Pitt Capital Group di Pittsburgh. Selain itu, investor juga melihat saham teknologi tidak lagi menarik jika nanti Presiden Trump menunaikan janji kampanyenya untuk meninjau ulang regulasi di kesehatan dan sektor keuangan untuk mendorong pembelanjaan negara di infrastruktur untuk mendorong pertumbuhan ekonomi AS. ""Jika pertumbuhan semakin sering dan tersedia, kami akan melihat kesinambungan rotasi ke valuasi yang lebih murah, dan lebih banyak siklus bisnis dan berakhirnya era valuasi tinggi saham-saham teknologi,"" kata  James Abate, chief investment officer di Centre Asset Management di New York. Indeks Dow Jones ditutup turun 21,03 poin atau turun 0,11 persen ke level 18.868,69. Indeks S&P 500 turun 0,25 poin atau turun 0,01 persen ke level 2.164,2 dan indeks Nasdaq Composite turun 18,72 poin atau turun 0,36 persen ke level 5.218,40. 
Kompas TV Trump Menang, Pasar Saham Asia Respon Negatif",2019-08-31
79,"Harga-harga Naik pada Awal 2017, Coba Lakukan Strategi Finansial Ini","06/01/2017, 12:00 WIB","Tahun 2017 dibuka dengan kabar tentang kenaikan berbagai harga barang. Mulai dari kenaikan tarif listrik untuk pelanggan setrum golongan 900 VA.
Kemudian, kenaikan tarif layanan pengurusan surat-surat kendaraan bermotor, lalu kenaikan harga bahan bakar minyak (BBM) nonsubsidi yang serempak dikerek oleh Pertamina.
Sampai harga berbagai kebutuhan pokok yang enggan turun. Di pasar tradisional, bahkan harga cabai sudah semakin tak terkendali mencapai ratusan ribu rupiah per kilogram.
Di sisi lain, banyak prediksi menyebutkan, kondisi perekonomian tahun 2017 bakal penuh tantangan. Harga minyak diramal kembali merangkak naik.
Suku bunga kredit perbankan juga diprediksi masih sulit melandai karena suku bunga The Federal Reserves Amerika Serikat diperkirakan akan naik hingga tiga kali pada 2017.
Kondisi ini bisa membuat banyak orang sakit kepala dalam mengatur kecukupan pendapatan. Gaji belum tentu naik, tetapi harga-harga kebutuhan seolah tak mau kompromi.
Anda mungkin termasuk yang kesal dengan kondisi yang cukup mengejutkan pada awal tahun ini. Namun, berkeluh kesah saja tidak akan menyelesaikan masalah.
Suka tidak suka, Anda harus beradaptasi agar kenaikan harga berbagai kebutuhan itu tidak membuat kondisi keuangan tahun ini jadi berantakan. Bagaimana memulainya? Simak tips berikut ini :

Cobalah melihat lagi arus keluar masuk uang di kantong Anda tiga bulan terakhir. Mana kira-kira pos yang bisa Anda tekan atau bila memungkinkan, dihapuskan. Lalu, mana pos pengeluaran yang kerap membengkak.",2019-08-31
80,Aset Finansial Luar Negeri Indonesia Turun,"30/03/2017, 21:10 WIB","Posisi Aset  Finansial Luar Negeri (AFLN) Indonesia per kuartal IV 2016 turun 6,8 persen secara kuartalan (qtq) menjadi 296,5 miliar dollar AS. Hal serupa juga terjadi pada posisi Kewajiban Finansial Luar Negeri (KFLN) yang turun 6,9 persen (qtq) menjadi 617,5 miliar dollar AS
Dengan demikian, posisi investasi internasional (PII) Indonesia mencatat net kewajiban sebesar 321 miliar dollar AS atau 34,4 persen terhadap produk domestik bruto (PDB) pada akhir kuartal IV 2016.
Angka tersebut turun 23,8 miliar dollar AS dari posisi net kewajiban pada akhir kuartal III 2016 yang mencapai 344,7 miliar dollar AS atau 38,1 persen terhadap PDB.
“Penurunan net kewajiban PII Indonesia tersebut disebabkan oleh penurunan Kewajiban Finansial Luar Negeri (KFLN) yang melampaui penurunan Aset Finansial Luar Negeri (AFLN),” tulis bank sentral dalam pernyataan resmi, Kamis (30/3/2017).
Posisi AFLN Indonesia per kuartal IV 2016 turun 6,8 persen secara kuartalan (qtq) menjadi 296,5 miliar dollar AS. Penurunan itu utamanya disebabkan penurunan AFLN pada investasi langsung dan investasi lainnya.
Penurunan investasi langsung aset antara lain dipengaruhi oleh divestasi aset terkait round-tripping investasi langsung. Sementara itu, penurunan aset pada investasi lainnya terkait dengan penarikan simpanan sektor swasta domestik pada bank di luar negeri.
“Penurunan posisi AFLN lebih lanjut sedikit tertahan oleh posisi cadangan devisa yang mencatat peningkatan dibandingkan dengan kuartal sebelumnya,” ungkap BI.
Sementara itu, posisi KFLN Indonesia pada akhir kuartal IV 2016 turun 6,9 persen (qtq) menjadi 617,5 miliar dollar AS. Penurunan tersebut didorong penurunan KFLN pada investasi langsung, investasi portofolio, dan investasi lainnya.
Penurunan posisi KFLN tersebut terutama disebabkan oleh penurunan nilai instrumen investasi berdenominasi rupiah sejalan dengan penurunan Indeks Harga Saham Gabungan (IHSG) dan penguatan nilai tukar dollar AS terhadap rupiah dan mata uang lainnya pada kuartal laporan.
Bank sentral memandang perkembangan PII Indonesia hingga kuartal IV 2016 masih cukup sehat. Namun, BI terus mewaspadai risiko net kewajiban PII terhadap perekonomian.
“Ke depan, Bank Indonesia berkeyakinan kinerja PII Indonesia akan semakin sehat sejalan dengan bauran kebijakan moneter dan makroprudensial yang ditempuh Bank Indonesia,” jelas BI.",2019-08-31
81,"Kerja Sama dengan Belanda, Komnas HAM Dapat Bantuan Finansial","10/05/2017, 15:01 WIB","- Komisi Nasional Hak Asasi Manusia ( Komnas HAM) menjalin kerja sama dengan Kedutaan Besar  Belanda di bidang HAM.
Jalinan kerja sama tersebut ditandai dengan penandatanganan Letter of Intent di antara keduanya di Gedung Komnas HAM, Menteng, Jakarta Pusat, Rabu (10/5/2017).
Hadir dari Komnas HAM Wakil Ketua Eksternal  Komnas Ham Nurkhoirun dan Komisioner Subkom Mediasi Komnas HAM Imdadun Rahman.
(Baca: Komnas HAM Ikut Rumuskan Solusi Kelebihan Kapasitas di Lapas)

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-5112'); });
        


Sementara, dari Kedutaan Besar Belanda hadir Duta Besar Belanda untuk HAM Kees Van Bar.
Nurkhoirun menjelaskan, kerja sama tersebut meliputi tiga hal. Pertama, kerja sama untuk sosialisasi rencana aksi nasional bisnis dan HAM.
""Latar belakang kerja sama pertama ini karena korporasi itu menempati posisi tertinggi sebagai pelaku pelanggaran HAM dan perusakan lingkungan,"" ujar Nurkhoirun usai acara penandantanganan itu.
Komnas HAM saat ini sudah merampungkan penyusunan Rencana Aksi Nasional (RAN) di bidang Bisnis dan HAM sebagai upaya perlindungan HAM dari dampak operasional korporasi.
Kedutaan Besar Belanda, lanjut Nurkhoirun, akan membantu dari sisi finansial terkait percepatan perampungan Rencana Aksi Nasional di bidang Bisnis dan HAM.
Ia tidak menyebut, berapa jumlah bantuan dana yang diberikan Belanda.",2019-08-31
82,Gubernur The Fed: Tidak Ada Krisis Finansial Selama Saya Masih Hidup,"28/06/2017, 11:34 WIB","Gubernur Bank Sentral AS atau Federal Reserve  Janet Yellen mengatakan bahwa dia tidak percaya akan adanya krisis finansial lain selama dia masih hidup. Dia memuji reformasi perbankan yang dilakukan pasca krisis finansial di periode 2007-2009.
""Saya ingin katakan, tidak akan pernah ada krisis finansial lain,"" ujar Yellen saat sesi tanya jawab di London, Selasa (27/6/2017).
""Mungkin hal itu tidak mungkin bagi Anda, tapi saya pikir kita lebih aman saat ini dan saya harap tidak ada krisis finansial di masa hidup kita dan saya tidak percaya hal itu akan terjadi,"" ujarnya.
Yellen mengatakan, bukan hal yang baik jika reformasi industri keuangan tidak terluka sebab membuat para pemangku kepentingan lebih waspada mencegah dilusi krisis finansial.
Presiden AS Donald Trump mengatakan di saat kampanyenya bahwa dia akan memangkas regulasi perbankan. Departemen Keuangan AS di awal bulan ini sudah mengajukan proposal untuk mengendorkan aneka batasan untuk bank besar.
Yellen enggan berkomentar ketika ditanya mengenai hubungannya dengan Trump, tapi dia mengatakan dia bekerja sama dengan baik dengan Menkeu AS Steve Mnuchin.
Yellen juga menambahkan bahwa dalam pandangannya, bank sentral AS akan terus meningkatkan suku bunga acuan walaupun bertahap.",2019-08-31
83,"Karena Cinta Juga Butuh Materi, Hindari 6 Kesalahan Finansial Ini","02/04/2017, 12:00 WIB","- Menjalin hubungan cinta yang kuat bersama  pasangan, tentunya menumbuhkan rasa kepercayaan yang tinggi. Dasar inilah yang juga menjadikan setiap pasangan siap untuk melangkah ke jenjang yang lebih serius lagi, yaitu pernikahan.
Namun, sebelum memutuskan untuk menuju pernikahan, sebaiknya coba untuk membuka pembicaraan tentang masalah keuangan antara Anda dan pasangan.
Masalah keuangan mungkin terasa kurang baik dibicarakan di awal, namun tidak ada salahnya jika ini untuk kebaikan Anda berdua, terlebih saat setelah menikah nanti.
Hal ini dapat menyelamatkan Anda dari ketidakcocokan yang mungkin bisa terjadi nanti, jika uang yang menjadi masalahnya. Hindari pertengkaran yang bisa terjadi karena ketidaksamaan akan persepsi mengenai mengatur keuangan.
Berikut ini empat contoh kesalahan keuangan yang dapat mengganggu hubungan asmara Anda dan pasangan, di masa depan:

Jika memiliki masalah dalam keadaan  finansial, yang tidak diketahui pasangan, sebaiknya mulailah secara terbuka untuk membicarakanya.
Bersikap terbuka malah akan semakin mendekatkan Anda dengan pasangan. Siapa tahu, pasangan Anda juga dapat membantu masalah finansial Anda, untuk kebaikan bersama.

Jika sebelum terjadi pernikahan, keadaan finansial Anda masih lebih besar pengeluaran daripada pendapatan, maka segera perbaiki masalah ini.",2019-08-31
84,"""Dosa Finansial"" yang Identik dengan Perempuan, Apa Saja?","26/02/2017, 09:00 WIB","-  Perempuan identik dengan sifatnya yang sabar, lemah lembut, penuh kasih sayang dan sebagainya. Perempuan juga bisa diandalkan dalam hal apa saja.
Dalam hal finansial juga biasanya  perempuan akan jauh lebih hebat ketimbang pria. Dalam sebuah keluarga, biasanya perempuanlah yang mengatur keuangan.
Namun, sering kali perempuan melakukan kesalahan dalam hal tersebut. Apa saja kesalahan pengaturan keuangan yang identik dengan perempuan?

Kebiasaan yang satu ini sudah tidak perlu dipertanyakan lagi. Rasanya hobi “suka belanja” sudah menjadi kebiasaan para perempuan yang sangat sulit dihilangkan.
Padahal belum tentu barang yang dibelinya itu adalah barang yang benar-benar ia butuhkan, atau hanya sebagai pajangan di lemari saja.
Hobi suka belanja ini sangat tidak baik karena hanya akan menghabiskan uang yang ada di kantong Anda. Hal ini menyebabkan gaji yang Anda terima per bulannya akan cepat habis.
Untuk memperbaiki kondisi finansial agar selalu sehat, maka perempuan wajib untuk mengurangi hobi yang satu ini.

Kartu kredit adalah sahabat perempuan jika tidak mempunyai uang cash saat berbelanja. gaya hidup yang konsumtif dan suka belanja fashion dari brand-brand terkenal kerap kali membuat para perempuan terjerat hubungan dengan kartu kredit yang nantinya akan sangat merugikan dirinya sendiri.",2019-08-31
85,"Kuartal IV 2016, Defisit Transaksi Berjalan 0,8 Persen dari PDB","10/02/2017, 20:11 WIB","- Bank Indonesia (BI) melaporkan,  defisit transaksi berjalan pada kuartal IV 2016 mencapai 1,8 miliar dollar AS atau 0,8 persen dari produk domestik bruto (PDB). Penurunan ini menurut bank sentral terjadi sejalan perbaikan perekonomian dunia dan perekonomian Indonesia.
 Defisit transaksi berjalan tersebut lebih rendah dibandingkan pada kuartal sebelumnya yang mencapai 4,7 miliar dollar AS atau 1,9 persen dari PDB. Penurunan defisit ditopang perbaikan kinerja  neraca perdagangan barang dan pendapatan primer.
""Surplus neraca perdagangan barang tercatat meningkat didorong oleh peningkatan ekspor seiring dengan perbaikan ekonomi negara-negara mitra dagang dan meningkatnya harga komoditas global,"" tutur Direktur Eksekutif Departemen Komunikasi BI Tirta Segara dalam keterangan resmi, Jumat (10/2/2017).
Kinerja transaksi berjalan kuartal IV 2016 juga lebih baik dibandingkan periode yang sama tahun 2015 yang mencatat defisit 4,7 miliar dollar AS atau 2,2 persen dari PDB. Ini karena meningkatnya surplus neraca perdagangan barang dan menurunnya defisit neraca perdagangan jasa.
 Transaksi modal dan finansial pada kuartal IV 2016 mencatat surplus yang cukup besar dan melampaui defisit transaksi berjalan. Surplus  transaksi modal dan finansial kuartal IV 2016 tercatat 6,8 miliar dollar AS, terutama bersumber dari surplus investasi lainnya sejalan dengan berlanjutnya repatriasi dana amnesti pajak.
Namun, surplus transaksi modal dan finansial tersebut lebih rendah dibandingkan surplus pada kuartal III 2016. Penyebabnya adalah defisit investasi portofolio sebagai dampak keluarnya dana asing dari saham domestik dan SUN rupiah pasca-pengumuman Pemilu Presiden AS, serta surplus investasi langsung yang juga lebih rendah karena dipengaruhi outflow di sektor pertambangan.",2019-08-31
86,"Peringkat SMF Naik Menjadi ""idAAA""","09/02/2017, 23:00 WIB","PT  Sarana Multigriya Finansial (Persero) atau SMF meraih rating ""idAAA"" dari PT Pemeringkat Efek Indonesia (Pefindo). Sebelumnya, rating SMF adalah  dari sebelumnya ""ldAA+"".
Peringkat yang diberikan untuk Obligasi berkelanjutan II/2012 dan Obligasi Berkelanjutan III/2015 ini, berlaku efektif terhitung sejak Rabu, (8/2/2017).
""Peringkat tersebut menandakan kemampuan dan kemauan kami untuk membayar kewajiban tepat waktu sangat kuat,"" ujar Direktur Utama SMF Ananta Wiyogo melalui keterangan tertulis yang diterima KompasProperti, Kamis, (9/2/2017).
Dengan membayar kewajiban tepat waktu, tutur Ananta, calon investor bisa melihat adanya prospek yang baik pada obligasi SMF.
Peringkat ""idAAA"" tersebut juga mencerminkan tingkat dukungan dari pemerintah khususnya dalam hal regulasi.
Dampaknya bisa dirasakan pada operasional perusahaan dan perannya dalam mendukung program perumahan nasional.
Selain itu, peringkat tersebut juga mencerminkan profil permodalan yang kuat, dengan didukung oleh kualitas aset yang baik.
Sementara itu, terbitnya Peraturan Presiden (Perpres) Nomor 101/2016 telah menghapus batas waktu yang diberikan kepada SMF sampai dengan tahun 2018 dengan aktivitas sebagai penyedia likuiditas.
Hal ini membuat SMF dapat lebih meningkatkan perannya secara signifikan dalam pembiyaan KPR.
Selain Perpres, SMF juga memperoleh dukungan peraturan yang terkait investasi yaitu Peraturan Otoritas Jasa Keuangan (POJK) Nomor 71/POJK.05/2016, tentang Kesehatan Keuangan Perusahaan Asuransi dan Perusahaan Reasuransi, dan POJK No.3/POJK.05/2015, tentang Investasi Dana Pensiun.",2019-08-31
